Fish ID,Date Collected,Water Body,Age,Total Length mm,Weight g,Fractional Age,Sample ID
HAR001,2/2/24,Harris,8,573,3603,7.88,FB_043_T_per
HAR002,2/2/24,Harris,7,427,1036,6.88,FB_080_T_per
HAR013,2/5/24,Harris,6,495,1838,5.89,FB_095_T_per
HAR018,2/5/24,Harris,1,158,41,0.89,FB_116_T_per
HAR019,2/5/24,Harris,4,383,685,3.89,FB_038_T_per
HAR022,2/5/24,Harris,5,436,1047,4.89,FB_115_T_per
HAR027,2/5/24,Harris,3,322,441,2.89,FB_047_T_per
HAR028,2/5/24,Harris,7,396,853,6.89,FB_049_T_per
HAR035,2/5/24,Harris,3,323,427,2.89,FB_087_T_per
HAR037,2/5/24,Harris,6,348,474,5.89,FB_025_T_per
HAR039,2/5/24,Harris,4,377,701,3.89,FB_126_T_per
HAR043,2/5/24,Harris,3,344,466,2.89,FB_084_T_per
HAR044,2/5/24,Harris,1,148,36,0.89,FB_056_T_per
HAR045,2/5/24,Harris,6,388,805,5.89,FB_020_T_per
HAR048,2/5/24,Harris,5,332,504,4.89,FB_031_T_per
HAR049,2/5/24,Harris,4,323,390,3.89,FB_064_T_per
HAR050,2/5/24,Harris,7,386,751,6.89,FB_026_T_per
HAR052,2/5/24,Harris,4,313,368,3.89,FB_155_T_per
HAR053,2/5/24,Harris,7,374,776,6.89,FB_107_T_per
HAR054,2/5/24,Harris,7,371,625,6.89,FB_105_T_per
HAR057,2/5/24,Harris,8,408,917,7.89,FB_016_T_per
HAR058,2/9/24,Harris,3,314,416,2.9,FB_048_T_per
HAR059,2/9/24,Harris,2,255,211,1.9,FB_032_T_per
HAR062,2/9/24,Harris,8,421,937,7.9,FB_099_T_per
HAR063,2/9/24,Harris,1,187,28,0.9,FB_085_T_per
HAR073,2/15/24,Harris,4,366,600,3.92,FB_119_T_per
HAR074,2/15/24,Harris,5,346,457,4.92,FB_077_T_per
HAR077,2/15/24,Harris,3,327,399,2.92,FB_036_T_per
HAR078,2/15/24,Harris,4,405,790,3.92,FB_051_T_per
HAR079,2/15/24,Harris,6,404,790,5.92,FB_112_T_per
HAR096,2/15/24,Harris,6,430,915,5.92,FB_094_T_per
HAR102,2/15/24,Harris,5,421,885,4.92,FB_054_T_per
HAR103,2/15/24,Harris,7,510,1825,6.92,FB_061_T_per
HAR109,2/22/24,Harris,8,460,1175,7.94,FB_096_T_per
HAR112,2/22/24,Harris,1,225,128,0.94,FB_059_T_per
HAR114,2/22/24,Harris,2,293,277,1.94,FB_093_T_per
HAR118,2/22/24,Harris,6,377,578,5.94,FB_068_T_per
HAR119,2/22/24,Harris,2,275,214,1.94,FB_067_T_per
HAR122,2/22/24,Harris,1,164,44,0.94,FB_058_T_per
HAR124,2/22/24,Harris,2,251,183,1.94,FB_065_T_per
HAR223,3/13/24,Harris,9,577,2859,8.99,FB_073_T_per
HAR233,3/15/24,Harris,5,439,1021,5,FB_055_T_per
HAR241,3/15/24,Harris,8,513,2018,8,FB_053_T_per
HAR253,3/20/24,Harris,9,540,2443,9.01,FB_102_T_per
HAR256,3/20/24,Harris,7,510,1824,7.01,FB_017_T_per
HAR259,3/20/24,Harris,10,625,3150,10.01,FB_063_T_per
HAR260,3/20/24,Harris,9,505,1853,9.01,FB_109_T_per
HAR272,3/25/24,Harris,9,496,1538,9.03,FB_108_T_per
HAR289,3/29/24,Harris,9,500,1058,9.04,FB_103_T_per
HAR292,3/29/24,Harris,6,418,803,6.04,FB_060_T_per
HAR295,4/2/24,Harris,10,617,3248,10.05,FB_072_T_per
HAR297,4/2/24,Harris,10,605,3412,10.05,FB_066_T_per
HAR307,4/2/24,Harris,7,485,1818,7.05,FB_090_T_per
HAR313,4/4/24,Harris,7,475,1376,7.05,FB_101_T_per
KIN12824,1/28/24,Kingsley,9,493,1175,8.87,FB_029_T_per
KIN529,5/29/24,Kingsley,13,640,3498,13.21,FB_070_T_per
KIN543,1/28/24,Kingsley,13,543,2048,12.87,FB_045_T_per
OK002,1/15/24,Okeechobee,8,528,2286,7.84,FB_082_T_per
OK008,1/15/24,Okeechobee,3,430,1246,2.84,FB_003_T_per
OK009,1/15/24,Okeechobee,5,523,2195,4.84,FB_078_T_per
OK012,1/15/24,Okeechobee,7,425,1224,6.84,FB_011_T_per
OK013,1/15/24,Okeechobee,3,356,649,2.84,FB_140_T_per
OK029,1/15/24,Okeechobee,3,400,949,2.84,FB_023_T_per
OK037,1/15/24,Okeechobee,3,372,801,2.84,FB_137_T_per
OK040,1/15/24,Okeechobee,1,260,255,0.84,FB_024_T_per
OK052,1/15/24,Okeechobee,2,325,576,1.84,FB_039_T_per
